epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.398,1.74521,2.2971,1.30295,0.77976,0.21204,0.31788,0.16941,1.72693,2.68552,1.18002,0.000471266,0.000471266,0.000471266
2,248.025,1.66076,1.50576,1.2411,0.54442,0.52526,0.49346,0.23213,1.78853,1.50599,1.28199,0.000853787,0.000853787,0.000853787
3,395.897,1.64028,1.39599,1.24057,0.64469,0.49204,0.50752,0.25758,1.72817,1.47874,1.21739,0.00114199,0.00114199,0.00114199
4,537.947,1.61231,1.29342,1.22871,0.63873,0.55335,0.56262,0.28297,1.69818,1.10695,1.20004,0.00100459,0.00100459,0.00100459
5,676.504,1.59092,1.15681,1.21345,0.75329,0.58812,0.66586,0.34602,1.62305,1.02672,1.16627,0.000863116,0.000863116,0.000863116
6,810.796,1.54086,1.06359,1.18796,0.74361,0.54851,0.61542,0.313,1.63143,1.03048,1.15677,0.000721645,0.000721645,0.000721645
7,928.874,1.52407,1.02538,1.17393,0.77405,0.65512,0.71448,0.37774,1.58641,0.92533,1.1451,0.000580174,0.000580174,0.000580174
8,1075.04,1.49568,0.97158,1.1673,0.79554,0.64935,0.73224,0.38829,1.55407,0.89871,1.13638,0.000438703,0.000438703,0.000438703
9,1205.9,1.46684,0.90095,1.1524,0.77026,0.66769,0.73482,0.39835,1.54494,0.86465,1.12525,0.000297232,0.000297232,0.000297232
10,1351.42,1.44454,0.85796,1.13525,0.84382,0.68235,0.76154,0.41616,1.5301,0.84608,1.12184,0.000155761,0.000155761,0.000155761
