epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.983,1.75014,2.23469,1.26758,0.69832,0.29871,0.3722,0.1891,1.71939,2.41656,1.12149,0.000471266,0.000471266,0.000471266
2,336.371,1.66383,1.42829,1.20598,0.53249,0.46754,0.40395,0.19446,1.77942,1.52498,1.19334,0.000853787,0.000853787,0.000853787
3,480.897,1.6544,1.35545,1.22104,0.58661,0.40748,0.43102,0.21049,1.72238,1.3654,1.19682,0.00114199,0.00114199,0.00114199
4,630.669,1.61921,1.23897,1.1991,0.72376,0.50589,0.54821,0.28045,1.73055,1.14337,1.16363,0.00100459,0.00100459,0.00100459
5,778.997,1.59073,1.1348,1.17816,0.67602,0.55484,0.58731,0.30464,1.6823,1.07068,1.14699,0.000863116,0.000863116,0.000863116
6,912.433,1.55909,1.05678,1.15847,0.73003,0.55036,0.60222,0.31267,1.63951,1.01181,1.12901,0.000721645,0.000721645,0.000721645
7,1043.54,1.53584,1.00602,1.14571,0.80079,0.59564,0.67203,0.36212,1.56821,0.91076,1.09725,0.000580174,0.000580174,0.000580174
8,1179.03,1.49137,0.94569,1.13087,0.7436,0.6397,0.67201,0.35897,1.55456,0.88958,1.09301,0.000438703,0.000438703,0.000438703
9,1310.44,1.46737,0.89319,1.11517,0.80275,0.63665,0.70904,0.38315,1.55072,0.87077,1.08667,0.000297232,0.000297232,0.000297232
10,1459.09,1.4413,0.85768,1.09682,0.79057,0.66302,0.70618,0.38653,1.53822,0.84925,1.08118,0.000155761,0.000155761,0.000155761
