epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.742,1.74557,2.2729,1.29784,0.54092,0.33705,0.38432,0.17319,1.77169,2.28784,1.23184,0.000471266,0.000471266,0.000471266
2,211.769,1.70602,1.55193,1.24968,0.59996,0.45077,0.47595,0.22365,1.72354,1.4705,1.2305,0.000928837,0.000928837,0.000928837
3,298.567,1.66835,1.41098,1.25147,0.66838,0.54089,0.55334,0.2772,1.70875,1.25766,1.22681,0.00136754,0.00136754,0.00136754
4,396.562,1.6789,1.34527,1.24228,0.73097,0.5003,0.57008,0.28327,1.68939,1.17258,1.19623,0.00134412,0.00134412,0.00134412
5,531.651,1.62356,1.23167,1.22433,0.67026,0.53528,0.56189,0.27677,1.72878,1.1624,1.20665,0.00131582,0.00131582,0.00131582
6,662.744,1.6285,1.18309,1.21513,0.71621,0.55852,0.6196,0.3216,1.65719,1.0435,1.19388,0.00128753,0.00128753,0.00128753
7,790.134,1.60458,1.16197,1.22208,0.72009,0.62525,0.65411,0.33602,1.63545,1.01118,1.18374,0.00125923,0.00125923,0.00125923
8,915.158,1.61089,1.12644,1.21349,0.71807,0.63986,0.66265,0.33044,1.64501,1.01161,1.19064,0.00123094,0.00123094,0.00123094
9,1059.06,1.57731,1.06129,1.19954,0.69717,0.61516,0.66763,0.3374,1.61977,0.97551,1.19166,0.00120265,0.00120265,0.00120265
10,1197.71,1.58041,1.06649,1.21112,0.74765,0.62435,0.67982,0.3434,1.61538,0.94749,1.17514,0.00117435,0.00117435,0.00117435
11,1329.54,1.55394,1.01572,1.19021,0.72995,0.60358,0.67057,0.34203,1.64155,0.95823,1.18773,0.00114606,0.00114606,0.00114606
12,1475.48,1.53972,1.00624,1.17747,0.71897,0.64235,0.68298,0.34945,1.57167,0.92585,1.16483,0.00111776,0.00111776,0.00111776
13,1614.78,1.53654,1.00328,1.17609,0.78896,0.62523,0.67439,0.36526,1.60635,0.97744,1.1878,0.00108947,0.00108947,0.00108947
14,1743.46,1.55106,0.97359,1.17529,0.73502,0.68336,0.71298,0.36811,1.62626,0.89803,1.17685,0.00106118,0.00106118,0.00106118
15,1874.5,1.55837,0.96886,1.16971,0.81345,0.58866,0.66797,0.35476,1.59388,0.924,1.15465,0.00103288,0.00103288,0.00103288
16,2011.79,1.50326,0.95551,1.17151,0.7262,0.59296,0.65445,0.32879,1.61308,0.92714,1.18298,0.00100459,0.00100459,0.00100459
17,2149.95,1.51862,0.94241,1.15964,0.80897,0.62986,0.7007,0.3726,1.57573,0.85768,1.16849,0.000976293,0.000976293,0.000976293
18,2281.32,1.48013,0.91332,1.15794,0.76299,0.64961,0.68726,0.35972,1.57069,0.88128,1.16282,0.000947999,0.000947999,0.000947999
19,2415.17,1.47178,0.902,1.14578,0.73818,0.68232,0.73254,0.38985,1.60573,0.88566,1.16641,0.000919704,0.000919704,0.000919704
20,2562.72,1.52454,0.90797,1.1548,0.73889,0.68465,0.71494,0.3828,1.55885,0.84747,1.15677,0.00089141,0.00089141,0.00089141
21,2693.81,1.4941,0.88283,1.15172,0.80682,0.64769,0.71053,0.38824,1.5674,0.89555,1.15286,0.000863116,0.000863116,0.000863116
22,2827.69,1.45103,0.87804,1.15128,0.76209,0.6639,0.72426,0.38824,1.58209,0.87473,1.1551,0.000834822,0.000834822,0.000834822
23,2960.64,1.4448,0.84226,1.13342,0.81516,0.67045,0.73008,0.38868,1.59215,0.84611,1.15809,0.000806528,0.000806528,0.000806528
24,3093.82,1.45753,0.83945,1.13764,0.77901,0.7104,0.76516,0.40969,1.55325,0.81055,1.14362,0.000778233,0.000778233,0.000778233
25,3224.65,1.45632,0.83494,1.13491,0.83921,0.65858,0.74399,0.40492,1.5585,0.82533,1.15484,0.000749939,0.000749939,0.000749939
26,3352.45,1.4511,0.85197,1.141,0.78082,0.67952,0.75195,0.41225,1.548,0.81977,1.13668,0.000721645,0.000721645,0.000721645
27,3495.64,1.46724,0.82683,1.1311,0.80001,0.70342,0.74502,0.39821,1.53523,0.81993,1.14133,0.000693351,0.000693351,0.000693351
28,3628.33,1.41377,0.8214,1.12325,0.78725,0.71288,0.76294,0.41154,1.52552,0.80917,1.14428,0.000665057,0.000665057,0.000665057
29,3754.88,1.42218,0.81352,1.12947,0.82101,0.72893,0.76882,0.42024,1.51233,0.79423,1.12342,0.000636762,0.000636762,0.000636762
30,3883.74,1.40264,0.79445,1.12612,0.82557,0.6601,0.73607,0.40043,1.53307,0.79316,1.14671,0.000608468,0.000608468,0.000608468
31,4020.06,1.41397,0.79479,1.10636,0.83077,0.69772,0.78182,0.42903,1.50328,0.77574,1.12936,0.000580174,0.000580174,0.000580174
