epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,4174.03,1.40412,0.77662,1.10719,0.8455,0.6836,0.76596,0.41943,1.53785,0.78428,1.14313,0.00055188,0.00055188,0.00055188
33,4306.69,1.41358,0.78133,1.11884,0.84007,0.70864,0.77636,0.42698,1.5242,0.75552,1.13203,0.000523586,0.000523586,0.000523586
34,4433.98,1.38919,0.76645,1.11468,0.79371,0.6901,0.75916,0.41273,1.56733,0.79248,1.14756,0.000495291,0.000495291,0.000495291
35,4562.61,1.38536,0.75491,1.10337,0.82382,0.71062,0.7726,0.41748,1.56536,0.7789,1.14825,0.000466997,0.000466997,0.000466997
36,4686.79,1.39205,0.75055,1.10537,0.83785,0.72985,0.78683,0.43497,1.51496,0.76292,1.12584,0.000438703,0.000438703,0.000438703
37,4820.62,1.35914,0.75125,1.09341,0.8188,0.69944,0.76874,0.42452,1.51017,0.7562,1.12086,0.000410409,0.000410409,0.000410409
38,4983.59,1.36094,0.7472,1.09171,0.8395,0.67867,0.77213,0.42573,1.50783,0.7595,1.12289,0.000382115,0.000382115,0.000382115
39,5111.89,1.35627,0.71847,1.09019,0.84079,0.68831,0.77411,0.43387,1.50669,0.76397,1.12371,0.00035382,0.00035382,0.00035382
40,5231.94,1.34473,0.73123,1.09706,0.83737,0.70214,0.75564,0.42078,1.51922,0.76919,1.13181,0.000325526,0.000325526,0.000325526
41,5349.25,1.32752,0.6693,1.09286,0.82085,0.71735,0.77719,0.42981,1.50546,0.75216,1.13079,0.000297232,0.000297232,0.000297232
42,5469.85,1.31514,0.65204,1.0838,0.85136,0.68405,0.77374,0.43661,1.50269,0.77233,1.12489,0.000268938,0.000268938,0.000268938
43,5589.06,1.29068,0.64096,1.07956,0.84205,0.72125,0.78027,0.43639,1.51148,0.74444,1.12344,0.000240644,0.000240644,0.000240644
44,5735.84,1.29548,0.62645,1.07825,0.82786,0.73158,0.78479,0.43617,1.50951,0.73778,1.12259,0.000212349,0.000212349,0.000212349
45,5853.09,1.2821,0.63084,1.06815,0.82759,0.71876,0.77851,0.43522,1.50726,0.74737,1.12374,0.000184055,0.000184055,0.000184055
46,5974.97,1.26239,0.61874,1.06611,0.82958,0.70438,0.77207,0.4407,1.50296,0.74272,1.12413,0.000155761,0.000155761,0.000155761
47,6108.88,1.26365,0.61344,1.05587,0.85412,0.70312,0.7843,0.44874,1.49038,0.73096,1.11848,0.000127467,0.000127467,0.000127467
48,6235.99,1.2573,0.61115,1.06071,0.86464,0.7013,0.78923,0.44881,1.49399,0.72989,1.12104,9.91726e-05,9.91726e-05,9.91726e-05
49,6382.38,1.25791,0.59675,1.05727,0.83871,0.72574,0.78535,0.4498,1.49149,0.72407,1.11945,7.08784e-05,7.08784e-05,7.08784e-05
50,6509.33,1.24753,0.59462,1.05346,0.83261,0.72655,0.78548,0.44719,1.48695,0.72439,1.1166,4.25842e-05,4.25842e-05,4.25842e-05
